smiles,logS0,random,diversity
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12,-5.1455,0,0
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,-3.78,0,1
CN(C)CCOC(c1ccccc1)c1ccccc1,-2.947,0,0
CN(C)CCO[C@@H](c1ccccc1)c1ccccc1C,-4.1,0,1
CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,-2.659,0,1
CN(C)CC\C=C1\c2ccccc2Sc2ccc(Cl)cc12,-6.308,0,1
CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)[C@H](C(N)=O)C1=O)N(C)C,-0.944,0,1
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)[C@H](C(N)=O)C1=O)C(=O)c1c(O)ccc(Cl)c1[C@@]3(C)O,-2.94,0,1
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)[C@H](C(N)=O)C1=O)C(=O)c1c(O)cccc1[C@@]3(C)O,-2.924,0,0
CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)[C@H](C(N)=O)C1=O)C(=O)c1c(O)cccc1[C@@]3(C)O,-3.093,0,1
